,Dates_x,Date,Dates_y,Counts
0,1/1/14,2014-01-01,2014-01-01,1.0
1,1/2/14,2014-01-02,0,0.0
2,1/3/14,2014-01-03,2014-01-03,1.0
3,1/4/14,2014-01-04,0,0.0
4,1/5/14,2014-01-05,0,0.0
5,1/6/14,2014-01-06,0,0.0
6,1/7/14,2014-01-07,0,0.0
7,1/8/14,2014-01-08,0,0.0
8,1/9/14,2014-01-09,0,0.0
9,1/10/14,2014-01-10,0,0.0
10,1/11/14,2014-01-11,0,0.0
11,1/12/14,2014-01-12,2014-01-12,3.0
12,1/13/14,2014-01-13,2014-01-13,1.0
13,1/14/14,2014-01-14,2014-01-14,1.0
14,1/15/14,2014-01-15,0,0.0
15,1/16/14,2014-01-16,2014-01-16,2.0
16,1/17/14,2014-01-17,0,0.0
17,1/18/14,2014-01-18,0,0.0
18,1/19/14,2014-01-19,0,0.0
19,1/20/14,2014-01-20,2014-01-20,1.0
20,1/21/14,2014-01-21,2014-01-21,1.0
21,1/22/14,2014-01-22,0,0.0
22,1/23/14,2014-01-23,0,0.0
23,1/24/14,2014-01-24,0,0.0
24,1/25/14,2014-01-25,2014-01-25,2.0
25,1/26/14,2014-01-26,0,0.0
26,1/27/14,2014-01-27,2014-01-27,2.0
27,1/28/14,2014-01-28,0,0.0
28,1/29/14,2014-01-29,0,0.0
29,1/30/14,2014-01-30,0,0.0
30,1/31/14,2014-01-31,0,0.0
31,2/1/14,2014-02-01,0,0.0
32,2/2/14,2014-02-02,0,0.0
33,2/3/14,2014-02-03,2014-02-03,1.0
34,2/4/14,2014-02-04,0,0.0
35,2/5/14,2014-02-05,2014-02-05,1.0
36,2/6/14,2014-02-06,2014-02-06,1.0
37,2/7/14,2014-02-07,2014-02-07,1.0
38,2/8/14,2014-02-08,0,0.0
39,2/9/14,2014-02-09,0,0.0
40,2/10/14,2014-02-10,0,0.0
41,2/11/14,2014-02-11,0,0.0
42,2/12/14,2014-02-12,2014-02-12,3.0
43,2/13/14,2014-02-13,0,0.0
44,2/14/14,2014-02-14,0,0.0
45,2/15/14,2014-02-15,2014-02-15,1.0
46,2/16/14,2014-02-16,2014-02-16,5.0
47,2/17/14,2014-02-17,0,0.0
48,2/18/14,2014-02-18,0,0.0
49,2/19/14,2014-02-19,0,0.0
50,2/20/14,2014-02-20,2014-02-20,2.0
51,2/21/14,2014-02-21,0,0.0
52,2/22/14,2014-02-22,2014-02-22,1.0
53,2/23/14,2014-02-23,0,0.0
54,2/24/14,2014-02-24,0,0.0
55,2/25/14,2014-02-25,2014-02-25,1.0
56,2/26/14,2014-02-26,0,0.0
57,2/27/14,2014-02-27,0,0.0
58,2/28/14,2014-02-28,0,0.0
59,3/1/14,2014-03-01,2014-03-01,2.0
60,3/2/14,2014-03-02,0,0.0
61,3/3/14,2014-03-03,0,0.0
62,3/4/14,2014-03-04,0,0.0
63,3/5/14,2014-03-05,2014-03-05,1.0
64,3/6/14,2014-03-06,0,0.0
65,3/7/14,2014-03-07,0,0.0
66,3/8/14,2014-03-08,2014-03-08,2.0
67,3/9/14,2014-03-09,2014-03-09,2.0
68,3/10/14,2014-03-10,0,0.0
69,3/11/14,2014-03-11,0,0.0
70,3/12/14,2014-03-12,0,0.0
71,3/13/14,2014-03-13,0,0.0
72,3/14/14,2014-03-14,2014-03-14,1.0
73,3/15/14,2014-03-15,0,0.0
74,3/16/14,2014-03-16,2014-03-16,2.0
75,3/17/14,2014-03-17,0,0.0
76,3/18/14,2014-03-18,0,0.0
77,3/19/14,2014-03-19,0,0.0
78,3/20/14,2014-03-20,0,0.0
79,3/21/14,2014-03-21,2014-03-21,1.0
80,3/22/14,2014-03-22,0,0.0
81,3/23/14,2014-03-23,2014-03-23,3.0
82,3/24/14,2014-03-24,0,0.0
83,3/25/14,2014-03-25,0,0.0
84,3/26/14,2014-03-26,0,0.0
85,3/27/14,2014-03-27,0,0.0
86,3/28/14,2014-03-28,0,0.0
87,3/29/14,2014-03-29,0,0.0
88,3/30/14,2014-03-30,2014-03-30,2.0
89,3/31/14,2014-03-31,0,0.0
90,4/1/14,2014-04-01,0,0.0
91,4/2/14,2014-04-02,2014-04-02,1.0
92,4/3/14,2014-04-03,0,0.0
93,4/4/14,2014-04-04,0,0.0
94,4/5/14,2014-04-05,2014-04-05,3.0
